OrderID,TradeID,OpenOrderID,TradeIDOrigin,Margin,Amount,BuySell,Price
170666294, 170666294, 391521064, , 70.000000, 5000, S, 1.20016
170666427, 170666427, 391521431, , 70.000000, 5000, S, 1.20024
170666712, 170666712, 391522038, , 70.000000, 5000, S, 1.20030
